Name	Address	latitude	longitude
Sunny's Boba & More	519 4th St, Santa Rosa	38.439962	-122.715312
Quickly	1880 Mendocino Ave, Santa Rosa	38.45849	-122.717092
Tea World	1620 Mendocino Ave, Santa Rosa	38.455982	-122.717189
T4 & Poke	2280 Mendocino Ave, Santa Rosa	38.462146	-122.7176
BubbleCups	1940 Piner Rd, Santa Rosa	38.466809	-122.74904
TPartea Boba Drinks & Banh Mi	5800 Northgate Dr,  San Rafael	38.006255	-122.545466
Quickly	1128 4th St, San Rafael	37.973328	-122.528876
Peace Love Boba	3083 Alamo Dr, Vacaville	38.335449	-121.956702
Quickly	1661 E Monte Vista Ave, Vacaville	38.364843	-121.965075
Tea Rex	1 Padre Pkwy, Ronhert Park	38.350102	-122.709051
Quickly	1451 Southwest Blvd, Ronhert Park	38.338847	-122.686701
ThirsTea	6585 Commerce Blvd, Ronhert Park	38.346106	-122.710585
Tapioca Express	3720 Sonoma Blvd, Vallejo	38.13765	-122.256017
Quickly	145 Plaza Dr, Vallejo 	38.132597	-122.216386
Quickly	1350 Travis Blvd, Fairfield	38.258281	-122.051421
Bobo Drinks	1305 Gateway Blvd, Fairfield	38.262316	-122.050388
Crave Cafe	3419 Broadway St, American	38.170111	-122.253415
Quickly	29 Napa Junction Rd, Canyon	38.184968	-122.261858
Water & Leaves	95 Fisherman's Wharf, Ste 1, Monterey	36.604707	-121.89261
Quickly	1010 Pacific Ave, Santa Cruz	36.971079	-122.025178
Tea Zone & Fruit Bar	1717 Mission St, Santa Cruz	36.977353	-122.029423
iCrave	1601 41st Ave, Capitola	36.972814	-121.965004
Asian Express	1955 41st Ave, Ste A-2, Capitola	36.97811	-121.966251
Off The Block	115 San Jose Ave, Ste Q, Capitola	36.97247	-121.951813
Bon Mange	2819 W March Ln, Stockton	37.985238	-121.346792
T4	1215 W March Ln, Stockton	37.984906	-121.337946
Bambu	1304 E Hammer Ln, Stockton	38.020495	-121.296072
Quickly	960 W Robinhood Dr, Stockton	38.000151	-121.317639
